Product_Number,Product_Name,Brand,Format,Unit_Price_CAD,Quantity_Ordered,Total_Price_CAD
3242205,"Crevettes blanches décortiquées et déveinées sans queue, calibre 51-60, crues, congelé",Mirabel,EA CS,128.06,2,256.12
1354841,Fraises entières,Below Zero,EA CS,28.4,1,28.4
1413622,Tortillas de maïs 6 po,Mejicano,EA CS,33.95,2,67.9
1359941,Tortillas blanches 6 po,Gordon Choice,EA CS,52.64,2,105.28
7066305,"Dinde semi-désossée crue, surgelé",Butterball,EA CS,12.14,5,879.06
6003408,Mélange de légumes mirepoix,Arctic Gardens,EA CS,38.72,2,77.44
1133408,Mélange de légumes Soleil levant,Arctic Gardens,EA CS,41.41,1,41.41
7236656,"Saucisses fumées 5 po 12/lb grillées, congelé",JM Schneider,EA CS,50.07,2,100.14
1446443,"Saucisses fumées 5,5 po, 10 par lb, surgelé",Lesters,EA CS,91.16,2,182.32
5015888,"Sac à ordures noir ultrarésistant, 35 x 50 po",Ralston,UN CS,22.58,10,225.8
7015888,"Sac à ordures noir ultrarésistant Valeur plus, 42 x 48 po",Ralston,UN CS,19.04,5,95.2
6559605,"Sac en papier brun 12 lb, 7 x 4 x 13 po",Gordon Choice,UN CS,33.19,6,199.14
1045666,Barres tendres Nutrigrain aux fruits des champs,Kellogg's,PAC CS,26.34,6,158.04
1130881,Pois chiches,Gordon Choice,EA CS,50.15,1,50.15
1147306,Haricots rouges,Arctic Gardens,EA CS,46.91,1,46.91
2509605,"Céréales Froot Loops, sac",Kellogg's,EA CS,77.18,1,77.18
6132405,"Céréales Vector, sac",Kellogg's,EA CS,67.89,1,67.89
7615005,"Brisures de chocolat moyennes pour biscuits, 1000 unités",Gordon Choice,KG CS,86.28,1,86.28
4889018,Nettoyant dégraissant à température élevée pour grils prêt-à-utiliser,Ecolab,EA CS,147.31,1,147.31
1478056,Nettoyant désinfectant multisurfaces rapide,Ecolab,L CS,161.96,3,485.88
1207714,Nettoyant pour plancher à double action Maxx,Ecolab,L CS,160.07,2,320.14
1223711,Bouteille de gaz carbonique (CO2),Pepsi,UN CS,29.47,1,29.47
8669205,Café 100 % colombien,Club Coffee,EA CS,213.47,2,426.94
1224496,Café mélange gourmet torréfaction moyenne RA,Club Coffee,EA CS,97.31,4,389.24
1476493,Coupe à dessert 6 oz en plastique transparent,WNA,UN CS,160.04,3,480.12
1502299,CONT PL CL REF PP 6X6PO,Earthchoice,UN CS,76.78,8,614.24
1347228,Contenant rond en carton brun 8 oz,Hy Pax,UN CS,105.57,2,211.14
1036578,Fécule de maïs Melojel,Red Feather,KG EA,21.46,1,21.46
1036578,Fécule de maïs Melojel,Red Feather,KG EA,21.46,1,0.0
2035805,"Biscottes Melba nature, portion individuelle",Grissol,EA CS,42.15,1,42.15
5208205,Gobelet à boisson chaude 12 oz en carton blanc,Gordon Choice,EA CS,101.27,7,708.89
1219583,"Fourchettes en plastique blanc, polypropylène, vrac, ustensile",Pactiv,UN CS,40.83,3,122.49
1373400,Détergent à casseroles pour lavage manuel,Array,EA CS,68.8,2,137.6
1153249,"Détergent liquide pour batterie de cuisine, Scout",Ecolab,EA CS,172.59,2,345.18
1188764,Vinaigrette César crémeuse,Hellmann's,EA CS,61.94,1,61.94
1286299,"Vinaigrette César crémeuse, portion individuelle, barquette",Kraft,EA CS,47.74,1,47.74
9960205,"Vinaigrette pour salade de chou crémeuse, sans gluten",Kraft,EA CS,62.77,2,125.54
1193902,"Vinaigrette italienne crémeuse, sans gluten",Hellmann's,EA CS,46.58,1,46.58
1282659,"Vinaigrette campagne, portion individuelle, barquette",Kraft,EA CS,43.72,2,87.44
1286304,"Vinaigrette Mille-Îles, portion individuelle, barquette",Kraft,EA CS,44.29,1,44.29
2451405,Extrait de vanille artificiel brun,Club House,L EA,16.51,1,16.51
5917805,Farine tout usage non blanchie,Gordon Choice,KG CS,23.81,1,23.81
1450920,"Gants en nitrile noirs sans poudre, moyens",Gordon Choice,EA CS,88.51,1,88.51
1450919,"Gants en nitrile noirs sans poudre, très grands",Gordon Choice,EA CS,88.51,3,265.53
9488086,Préparation complète pour sauce brune,Luda Original,KG CS,37.62,2,75.24
